family,vendor,soc,core_type,architecture_x,Year,productvendor,productmodel,productsoc_used,architecture_y,hw_model,"Cache (I , D), MMU ",Reference ,hw_ncores,hw_nthreadspercore,clock,max_clock,Wireless,Wireless2,decode,out_of_order,wide,issue,superscalar,AArch64,addressing,memory,system timer,Saturated,branch prediction,instruction fetch,AArch32,pipeline,bus_width,virtualization,transistors,dynamic code optimization,optimization cache,l0_cache,l1_cache,l2_cache,SLC,die_size,L1I_cache,L1D_cache,DSP,l3_cache,SMP,Thumb,Thumb-1,Thumb-2,coprocessor bus,floating-point unit,profile,DBX,Co-processor,FPU_x,instruction,Divide,TrustZone,NEON,SIMD,D-cache,MMU,notes,cache,VFP,ACP,GIC,SCU,VFPv3,VFPv4,VFPv5,LLPP,TCM,source,manufacturer_x,manufacturer_y,Decode width,Execution ports,Pipeline depth,Out-of-order execution,FPU_y,Pipelined VFP,FPU registers,NEON (SIMD),big.LITTLE role,Virtualization,Processor Technology,L0 cache,L1 cache,L2 cache,Core configurations,DMIPS,ARM part number ,date,Revision ,Decode ,Pipeline depth ,Out-of-orderexecution-Have ,Out-of-orderexecution-Entries,Branchprediction ,big.LITTLE role ,Execports ,SIMD ,Simult. MT ,L3 cache,Core configurations ,ARM part number (in the main ID register) 
ARM7TDMI-S, NXP Semiconductors,LPC2xxx,Classic ,ARM7,2001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S, NXP Semiconductors,LPC2xxx,Classic ,ARM7,2001,Lego NXT,Juice Box,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S, NXP Semiconductors,LPC2xxx,Classic ,ARM7,2001,Garmin,Navigation Devices (1990s – early 2000s),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S, NXP Semiconductors,LPC2xxx,Classic ,ARM7,2001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S, NXP Semiconductors,LH7,Classic ,ARM7,2001,Game Boy,Advance,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S, NXP Semiconductors,LH7,Classic ,ARM7,2001,Nintendo,DS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S, NXP Semiconductors,LH7,Classic ,ARM7,2001,Nintendo,Dsi,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S, NXP Semiconductors,LH7,Classic ,ARM7,2001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S, NXP Semiconductors,LH7,Classic ,ARM7,2001,Lego NXT,Juice Box,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S, NXP Semiconductors,LH7,Classic ,ARM7,2001,Garmin,Navigation Devices (1990s – early 2000s),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S, NXP Semiconductors,LH7,Classic ,ARM7,2001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,Actel,CoreMP7,Classic ,ARM7,2001,Game Boy,Advance,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,Actel,CoreMP7,Classic ,ARM7,2001,Nintendo,DS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,Actel,CoreMP7,Classic ,ARM7,2001,Nintendo,Dsi,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,Actel,CoreMP7,Classic ,ARM7,2001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,Actel,CoreMP7,Classic ,ARM7,2001,Lego NXT,Juice Box,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,Actel,CoreMP7,Classic ,ARM7,2001,Garmin,Navigation Devices (1990s – early 2000s),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,Actel,CoreMP7,Classic ,ARM7,2001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,0,0,Classic ,ARM7,2001,Game Boy,Advance,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,0,0,Classic ,ARM7,2001,Nintendo,DS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,0,0,Classic ,ARM7,2001,Nintendo,Dsi,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,0,0,Classic ,ARM7,2001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,0,0,Classic ,ARM7,2001,Lego NXT,Juice Box,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,0,0,Classic ,ARM7,2001,Garmin,Navigation Devices (1990s – early 2000s),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM7TDMI-S,0,0,Classic ,ARM7,2001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM710T,0,0,Classic ,ARM7,1997,Psion,Series 5mx,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM710T,0,0,Classic ,ARM7,1997,Psion,Revo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM710T,0,0,Classic ,ARM7,1997,Psion,Revo Plus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM710T,0,0,Classic ,ARM7,1997,Psion,Diamond Mako,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM710T,0,0,Classic ,ARM7,1997,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM720T,NXP Semiconductors,LH7952x,Classic ,ARM7,1997,Zipit,Wireless Messenger,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM4,Digital,SA-110,Classic,StrongARM,1989,Apple,Newton 2x00 series,SA-110,Faraday,FA510,0,0,0,0,1.26 DMIPS/MHz,100–200 MHz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6stage,0,0,0,0,0,0,Up to  32 KB,32 KB cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,0,third,Faraday Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM4,Digital,SA-110,Classic,StrongARM,1989,Apple,Newton 2x00 series,SA-110,Faraday,FA526,0,0,0,0,1.26 MIPS/MHz,166–300 MHz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6stage,0,0,0,0,0,0,Up to 32 KB,32 KB cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,True,0,0,0,0,0,0,0,0,0,third,Faraday Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM4,Digital,SA-110,Classic,StrongARM,1989,Apple,Newton 2x00 series,SA-110,Faraday,FA626,0,0,0,0,1.35 DMIPS/MHz,500 MHz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8stage,0,0,0,0,0,0,32 KB,32 KB cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,True,0,0,0,0,0,0,0,0,0,third,Faraday Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM4,Digital,SA-110,Classic,StrongARM,1989,Acorn,Risc PC,0,Faraday,FA510,0,0,0,0,1.26 DMIPS/MHz,100–200 MHz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6stage,0,0,0,0,0,0,Up to  32 KB,32 KB cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,0,third,Faraday Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM4,Digital,SA-110,Classic,StrongARM,1989,Acorn,Risc PC,0,Faraday,FA526,0,0,0,0,1.26 MIPS/MHz,166–300 MHz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6stage,0,0,0,0,0,0,Up to 32 KB,32 KB cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,True,0,0,0,0,0,0,0,0,0,third,Faraday Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM4,Digital,SA-110,Classic,StrongARM,1989,Acorn,Risc PC,0,Faraday,FA626,0,0,0,0,1.35 DMIPS/MHz,500 MHz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8stage,0,0,0,0,0,0,32 KB,32 KB cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,True,0,0,0,0,0,0,0,0,0,third,Faraday Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM4,Digital,SA-110,Classic,StrongARM,1989,Acorn,Rebel,0,Faraday,FA510,0,0,0,0,1.26 DMIPS/MHz,100–200 MHz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6stage,0,0,0,0,0,0,Up to  32 KB,32 KB cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,0,third,Faraday Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM4,Digital,SA-110,Classic,StrongARM,1989,Acorn,Rebel,0,Faraday,FA526,0,0,0,0,1.26 MIPS/MHz,166–300 MHz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6stage,0,0,0,0,0,0,Up to 32 KB,32 KB cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,True,0,0,0,0,0,0,0,0,0,third,Faraday Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM4,Digital,SA-110,Classic,StrongARM,1989,Acorn,Rebel,0,Faraday,FA626,0,0,0,0,1.35 DMIPS/MHz,500 MHz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8stage,0,0,0,0,0,0,32 KB,32 KB cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,True,0,0,0,0,0,0,0,0,0,third,Faraday Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM4,Digital,SA-110,Classic,StrongARM,1989,Acorn,Corel,0,Faraday,FA510,0,0,0,0,1.26 DMIPS/MHz,100–200 MHz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6stage,0,0,0,0,0,0,Up to  32 KB,32 KB cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,0,third,Faraday Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM4,Digital,SA-110,Classic,StrongARM,1989,Acorn,Corel,0,Faraday,FA526,0,0,0,0,1.26 MIPS/MHz,166–300 MHz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6stage,0,0,0,0,0,0,Up to 32 KB,32 KB cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,True,0,0,0,0,0,0,0,0,0,third,Faraday Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM4,Digital,SA-110,Classic,StrongARM,1989,Acorn,Corel,0,Faraday,FA626,0,0,0,0,1.35 DMIPS/MHz,500 MHz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8stage,0,0,0,0,0,0,32 KB,32 KB cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,True,0,0,0,0,0,0,0,0,0,third,Faraday Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM4,Digital,SA-110,Classic,StrongARM,1989,Chalice,ATS,0,Faraday,FA510,0,0,0,0,1.26 DMIPS/MHz,100–200 MHz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6stage,0,0,0,0,0,0,Up to  32 KB,32 KB cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,0,third,Faraday Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM4,Digital,SA-110,Classic,StrongARM,1989,Chalice,ATS,0,Faraday,FA526,0,0,0,0,1.26 MIPS/MHz,166–300 MHz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6stage,0,0,0,0,0,0,Up to 32 KB,32 KB cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,True,0,0,0,0,0,0,0,0,0,third,Faraday Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM4,Digital,SA-110,Classic,StrongARM,1989,Chalice,ATS,0,Faraday,FA626,0,0,0,0,1.35 DMIPS/MHz,500 MHz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8stage,0,0,0,0,0,0,32 KB,32 KB cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,True,0,0,0,0,0,0,0,0,0,third,Faraday Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
