ARK | Intel® Product Specification Comparison
08/24/2023 09:53:23 PM
 ,Intel® Xeon® Processor E3-1290 v2 ,Intel® Xeon® Processor E3-1280 v2 ,Intel® Xeon® Processor E3-1275 v2 ,Intel® Xeon® Processor E3-1270 v2 ,Intel® Xeon® Processor E3-1265L v2 ,Intel® Xeon® Processor E3-1245 v2 ,Intel® Xeon® Processor E3-1240 v2 ,Intel® Xeon® Processor E3-1230 v2 ,Intel® Xeon® Processor E3-1225 v2 ,Intel® Xeon® Processor E3-1220 v2 ,Intel® Xeon® Processor E3-1220L v2 ,Intel® Xeon® Processor E3-1105C v2 ,Intel® Xeon® Processor E3-1125C v2 
Intel® Trusted Execution Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes

Processor Graphics
Graphics Base Frequency,,,650 MHz,,650 MHz,650 MHz,,,650 MHz,,,,
Graphics Max Dynamic Frequency,,,1.25 GHz,,1.15 GHz,1.25 GHz,,,1.25 GHz,,,,
Intel® Quick Sync Video,,,Yes,,Yes,Yes,,,Yes,,,,
Intel® InTru™ 3D Technology,,,Yes,No,Yes,Yes,,,Yes,,,,
Intel® Flexible Display Interface (Intel® FDI),,,Yes,No,Yes,Yes,,,Yes,,,,
Intel® Clear Video HD Technology,,,Yes,No,Yes,Yes,,,Yes,,,,
# of Displays Supported ‡,,,3,0,3,3,,,3,,,,
Intel® Clear Video Technology,,,,No,Yes,,,,,,,,
Processor Graphics ‡,,,,,Intel® HD Graphics 2500,,,,,,,,
