ARK | Intel® Product Specification Comparison
08/24/2023 09:54:07 PM
 ,Intel® Xeon® Processor E3-1220 ,Intel® Xeon® Processor E3-1225 ,Intel® Xeon® Processor E3-1230 ,Intel® Xeon® Processor E3-1235 ,Intel® Xeon® Processor E3-1240 ,Intel® Xeon® Processor E3-1245 ,Intel® Xeon® Processor E3-1260L ,Intel® Xeon® Processor E3-1270 ,Intel® Xeon® Processor E3-1275 ,Intel® Xeon® Processor E3-1280 ,Intel® Xeon® Processor E3-1220L ,Intel® Xeon® Processor E3-1290 ,Intel® Xeon® Processor E3-1125C ,Intel® Xeon® Processor E3-1105C 
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX,Intel® AVX,Intel® AVX
Idle States,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes
Intel® Demand Based Switching,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
Thermal Monitoring Technologies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Fast Memory Access,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Flex Memory Access,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Identity Protection Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,,
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Trusted Execution Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
