ARK | Intel® Product Specification Comparison
08/24/2023 09:50:59 PM
 ,Intel® Xeon® Processor E3-1501M v6 ,Intel® Xeon® Processor E3-1501L v6 ,Intel® Xeon® Processor E3-1505M v6 ,Intel® Xeon® Processor E3-1535M v6 ,Intel® Xeon® Processor E3-1240 v6 ,Intel® Xeon® Processor E3-1220 v6 ,Intel® Xeon® Processor E3-1245 v6 ,Intel® Xeon® Processor E3-1230 v6 ,Intel® Xeon® Processor E3-1280 v6 ,Intel® Xeon® Processor E3-1225 v6 ,Intel® Xeon® Processor E3-1275 v6 ,Intel® Xeon® Processor E3-1270 v6 ,Intel® Xeon® Processor E3-1505L v6 ,Intel® Xeon® Processor E3-1285 v6 
DirectX* Support,12,12,12,12,N/A,N/A,12,N/A,N/A,12,12,N/A,12,12
OpenGL* Support,4.4,4.4,4.4,4.4,N/A,N/A,4.4,N/A,N/A,4.4,4.4,N/A,4.4,4.4
Intel® Quick Sync Video,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
Intel® InTru™ 3D Technology,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
Intel® Flexible Display Interface (Intel® FDI),Yes,,,,,,,,,,,,,
Intel® Clear Video HD Technology,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
Intel® Clear Video Technology,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
# of Displays Supported ‡,3,3,3,3,0,0,3,0,0,3,3,0,3,3
Device ID,0x591D,0x591D,0x591D,0x591D,,,0x591D,,,0x591D,0x591D,,0x591D,0x191D

Expansion Options
PCI Express Revision,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
PCI Express Configurations ‡,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,1x16 |  2x8 |  1x8+2x4,1x16 |  2x8 |  1x8+2x4,1x16 |  2x8 |  1x8+2x4,1x16 |  2x8 |  1x8+2x4,1x16 |  2x8 |  1x8+2x4,1x16 |  2x8 |  1x8+2x4,1x16 |  2x8 |  1x8+2x4,1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,1x16 |  2x8 |  1x8+2x4
Max # of PCI Express Lanes,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Scalability,,,,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,1S Only

Package Specifications
Sockets Supported,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1440,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1151,FCBGA1440,FCLGA1151
Max CPU Configuration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TJUNCTION,100°C,100°C,100°C,100°C,,,,,,,,,100°C,
Package Size,42mm x 28mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,42mm x 28mm,37.5mm x 37.5mm

Advanced Technologies
Intel® Speed Shift Technology,Yes,Yes,Yes,Yes,,,,,,,,,,
Intel® Turbo Boost Technology ‡,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Intel® Hyper-Threading Technology ‡,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Intel® Transactional Synchronization Extensions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Idle States,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Thermal Monitoring Technologies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Identity Protection Technology ‡,Yes,,Yes,Yes,,,,,,,,,Yes,
Intel® Smart Response Technology,Yes,,Yes,Yes,,,,,,,,,Yes,
Intel® Flex Memory Access,,,Yes,Yes,,,,,,,,,,
Intel® My WiFi Technology,,,Yes,Yes,,,,,,,,,,
Intel® Optane™ Memory Supported ‡,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Secure Key,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
