hw_model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SM count,Core config,Clock rate Core (MHz),Clock rate Average Boost (MHz),Clock rate Max Boost (MHz),Clock rate Shader (MHz),Clock rate Memory (MHz),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory configuration Size (MB),Memory configuration Bandwidth (GB/s),Memory configuration DRAM type,Memory configuration Bus width (bit),Supported API version Vulkan,Supported API version Direct3D,Supported API version OpenGL,Supported API version OpenCL,Processing power (GFLOPS) Single precision,Processing power (GFLOPS) Double precision,TDP (Watts),Release Price (USD)
GeForce GT 640[i],"May 29, 2013",GK208-400-A1,TSMC 28 nm,1020,79,PCIe 2.0 x8,2,384:16:8,1046,—,—,1046,1252(5008),8.37,16.7,1024,40.1,GDDR5,64,1.2,12,4.6,1.2,803.3,Un­known,49,0
GeForce GT 645[j],"April 24, 2012",GF114-400-A1,TSMC 40 nm,1950,332,PCIe 2.0 x16,6,288:48:24,776,—,—,1552,1914,18.6,37.3,1024,91.9,GDDR5,192,—,12,4.6,1.2,894,Un­known,140,OEM
GeForce GTX 645,"April 22, 2013",GK106,TSMC 28 nm,2540,221,PCIe 3.0 x16,3,576:48:16,823.5,888.5,—,823,1000(4000),14.16,39.5,1024,64,GDDR5,128,1.2,12,4.6,1.2,948.1,39.53,64,OEM
GeForce GTX 650,"September 13, 2012",GK107-450-A2,TSMC 28 nm,1300,118,PCIe 3.0 x16,2,384:32:16,1058,—,—,1058,1250(5000),16.9,33.8,10242048,80,GDDR5,128,1.2,12,4.6,1.2,812.54,33.86,64,$110
GeForce GTX 650,"November 27, 2013 [74]",GK-106-400-A1,TSMC 28 nm,2540,221,PCIe 3.0 x16,2,384:32:16,1058,—,65,1058,1250(5000),16.9,33.8,10242048,80,GDDR5,128,1.2,12,4.6,1.2,812.54,33.86,?,0
GeForce GTX 650 Ti,"October 9, 2012",GK106-220-A1,TSMC 28 nm,2540,221,PCIe 3.0 x16,4,768:64:16,928,—,—,928,1350(5400),14.8,59.4,10242048,86.4,GDDR5,128,1.2,12,4.6,1.2,1425.41,59.39,110,$150 (130)
GeForce GTX 650 Ti Boost,"March 26, 2013",GK106-240-A1,TSMC 28 nm,2540,221,PCIe 3.0 x16,4,768:64:24,980,1032,—,980,1502(6008),23.5,62.7,10242048,144.2,GDDR5,192,1.2,12,4.6,1.2,1505.28,62.72,134,$170 (150)
GeForce GTX 660,"September 13, 2012",GK106-400-A1,TSMC 28 nm,2540,221,PCIe 3.0 x16,5,960:80:24,980,1032,1084,980,1502(6008),23.5,78.4,1536+5123072,96.1+48.1144.2,GDDR5,128+64192,1.2,12,4.6,1.2,1881.6,78.40,140,$230 (180)
GeForce GTX 660,"August 22, 2012",GK104-200-KD-A2,TSMC 28 nm,3540,294,PCIe 3.0 x16,6,1152:96:241152:96:32,823.5,888.5,899,823,1450(5800),19.8,79,153620483072,139 186,GDDR5,192256,1.2,12,4.6,1.2,2108.6,79.06,130,OEM
GeForce GTX 660 Ti,"August 16, 2012",GK104-300-KD-A2,TSMC 28 nm,3540,294,PCIe 3.0 x16,7,1344:112:24,915,980,1058,915,1502(6008),22.0,102.5,2048,96.1+48.1144.2,GDDR5,128+64192,1.2,12,4.6,1.2,2459.52,102.48,150,$300
