architecture,Launch,Code name(s),Process,Transistors (billion),node,Core config,Bus Interface,L2 Cache (MB),Clock speeds Basecoreclock(MHz),Clock speeds Boostcoreclock(MHz),Clock speeds Memory(MT/s),Memory Size(GB),Memory Bandwidth(GB/s),Memory Type,Memory Buswidth(bit),Fillrate Pixel(GP/s),Fillrate Texture(GT/s),processing power (GFLOPS)_single_precision,processing power (GFLOPS)_double_precision,processing power (GFLOPS)_half_precision,processing power (TFLOPS) Tensor compute (FP16),Ray tracing Performance Rays/s(Billions),Ray-tracing Performance RTX OPS/s (Trillions),tdp,Features,hw_model,Chips,Thread processors(total),memory_bus,memory_size,clock,shaders_cuda_cores,shaders_clock,shaders_max_clock,memory_bus_width,memory_clock,memory_bandwidth,processing power (GFLOPS)_half_precision_tensor,cuda_compute_capability,"Notes, form factor Unnamed: 18_level_2",model,codes,codes2
Pascal,2016-04-05,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,"9,519–10,609","4,760–5,304",0,0,0,0,300,Yes,P100 GPU accelerator (mezzanine),1× GP100-890-A1,0,HBM2,16,—,3584,1328,1480,4096,1430,732,No,6.0,SXM card,0,GP100-890-A1,['GP100-890-A1']
Pascal,2016-06-20,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,"8,071‒9,340","4,036‒4,670",0,0,0,0,250,Yes,P100 GPU accelerator (16 GB card),1× GP100,0,HBM2,16,—,3584,1126,1303,4096,1430,732,No,6.0,PCIe card,0,GP100,['GP100']
Pascal,2016-06-20,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,"8,071‒9,340","4,036‒4,670",0,0,0,0,250,Yes,P100 GPU accelerator (12 GB card),1× GP100,0,HBM2,12,—,3584,1126,1303,3072,1430,549,No,6.0,PCIe card,0,GP100,['GP100']
Volta,2017-05-10,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,14899,7450,0,0,0,0,300,Yes,V100 GPU accelerator (mezzanine),1× GV100-895-A1,0,HBM2,16 or 32,—,5120,Un­known,1455,4096,1750,900,119192,7.0,SXM card,0,GV100-895-A1,['GV100-895-A1']
Volta,2017-06-21,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,14028,7014,0,0,0,0,250,Yes,V100 GPU accelerator (PCIe card),1× GV100,0,HBM2,16 or 32,—,5120,Un­known,1370,4096,1750,900,112224,7.0,PCIe card,0,GV100,['GV100']
Volta,2018-03-27,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,13210,6605,0,0,0,0,250,Yes,V100 GPU accelerator (PCIe FHHL card),1× GV100,0,HBM2,16,—,5120,937,1290,4096,1620,829.44,105680,7.0,PCIe FHHL card,0,GV100,['GV100']
Turing,2018-09-12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,8100,Un­known,0,0,0,0,70,Yes,T4 GPU accelerator (PCIe card),1× TU104-895-A1,0,GDDR6,16,—,2560,585,1590,256,5000,320,64800,7.5,PCIe card,0,TU104-895-A1,['TU104-895-A1']
Ampere,2021-11-10,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,4531,140,0,0,0,0,40-60,Yes,A2 GPU accelerator (PCIe card),1× GA107,0,GDDR6,16,—,1280,1440,1770,128,6252,200,18124,8.6,"PCIe card (half height, single-slot)",0,GA107,['GA107']
Ampere,2021-04-12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,31240,976,0,0,0,0,150,Yes,A10 GPU accelerator (PCIe card),1× GA102-890-A1,0,GDDR6,24,—,9216,885,1695,384,6252,600,124960,8.6,PCIe card (single-slot),0,GA102-890-A1,['GA102-890-A1']
Ampere,2021-04-12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,"4× 4,608",1084.8,0,0,0,0,250,Yes,A16 GPU accelerator (PCIe card),4× GA107,0,GDDR6,4× 16,—,"4× 1,280",885,1695,4× 128,7242,4× 200,"4x 18,432",8.6,PCIe card (dual-slot),0,GA107,['GA107']
Ampere,2021-04-12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,10320,5161,0,0,0,0,165,Yes,A30 GPU accelerator (PCIe card),1× GA100,0,HBM2,24,—,3584,930,1440,3072,1215,933.1,165120,8.0,PCIe card (dual-slot),0,GA100,['GA100']
Ampere,2020-10-05,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,37420,1168,0,0,0,0,300,Yes,A40 GPU accelerator (PCIe card),1× GA102,0,GDDR6,48,—,10752,1305,1740,384,7248,695.8,149680,8.6,PCIe card (dual-slot),0,GA102,['GA102']
Ampere,2020-05-14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,19500,9700,0,0,0,0,250,Yes,A100 GPU accelerator (PCIe card),1× GA100-883AA-A1,0,HBM2,40 or 80,—,6912,765,1410,5120,1215,1555,312000,8.0,PCIe card (dual-slot),0,GA100-883AA-A1,['GA100-883AA-A1']
Hopper,2022-03-22,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,51200,25600,0,0,0,0,350,Yes,H100 GPU accelerator (PCIe card),1× GH100,0,HBM2e,80,—,14592,1065,"1,755 CUDA 1620 TC",5120,1000,2039,756449,9.0,PCIe card (dual-slot),0,GH100,['GH100']
Hopper,2022-03-22,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,66900,33500,0,0,0,0,700,Yes,H100 GPU accelerator (SXM card),1× GH100,0,HBM3,80,—,16896,1065,"1,980 CUDA 1,830 TC",5120,1500,3352,989430,9.0,SXM card,0,GH100,['GH100']
Hopper,2023-08-08,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,66900,33500,0,0,0,0,450-1000,Yes,GH200 Superchip (SXM card),1× GH100 1x Arm Neoverse V2,0,HBM3e,96- 144,—,16896,1065,"1,980 CUDA 1,830 TC",6144,—,4900,989430,9.0,SXM card,0,GH100,"['GH100', '1x', 'Arm', 'Neoverse', 'V2']"
Ada Lovelace,2022-10-13,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,90516,1414,0,0,0,0,300,Yes,L40 GPU accelerator,1× AD102,0,GDDR6,48,—,18176,735,2490,384,2250,864,362066,8.9,PCIe card (dual-slot),0,AD102,['AD102']
Ada Lovelace,2023-03-21,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,30300,490,0,0,0,0,72,Yes,L4 GPU accelerator,1x AD104,0,GDDR6,24,—,7424,795,2040,192,1563,300,121000,8.9,HHHL single slot PCIe card,0,AD104,['AD104']
